date,Unemployment Rate,Labor Force Participation Rate,Employment-Population (Men),Employment-Population (Women),U-6 Unemployment Rate (Underemployment)
2000-01-01,4.0,67.3,81.8,57.6,7.0
2000-02-01,4.1,67.3,81.8,57.5,7.1
2000-03-01,4.0,67.3,81.7,57.5,7.1
2000-04-01,3.8,67.3,81.9,58.0,6.9
2000-05-01,4.0,67.1,81.5,57.5,7.1
2000-06-01,4.0,67.1,81.5,57.5,7.0
2000-07-01,4.0,66.9,81.3,57.3,7.0
2000-08-01,4.1,66.9,81.1,57.1,7.1
2000-09-01,3.9,66.9,81.1,57.4,7.0
2000-10-01,3.9,66.8,81.1,57.4,6.8
2000-11-01,3.9,66.9,81.3,57.5,7.1
2000-12-01,3.9,67.0,81.4,57.6,6.9
2001-01-01,4.2,67.2,81.4,57.6,7.3
2001-02-01,4.2,67.1,81.3,57.5,7.3
2001-03-01,4.3,67.2,81.3,57.7,7.3
2001-04-01,4.4,66.9,80.9,57.2,7.4
2001-05-01,4.3,66.7,80.8,57.2,7.5
2001-06-01,4.5,66.7,80.6,57.0,7.9
2001-07-01,4.6,66.8,80.5,57.0,7.9
2001-08-01,4.9,66.5,80.2,56.6,8.2
2001-09-01,5.0,66.8,80.2,56.7,8.7
2001-10-01,5.3,66.7,79.9,56.6,9.3
2001-11-01,5.5,66.7,79.7,56.6,9.4
2001-12-01,5.7,66.7,79.8,56.3,9.6
2002-01-01,5.7,66.5,79.6,56.2,9.4
2002-02-01,5.7,66.8,79.8,56.6,9.5
2002-03-01,5.7,66.6,79.6,56.4,9.4
2002-04-01,5.9,66.7,79.5,56.2,9.7
2002-05-01,5.8,66.7,79.4,56.1,9.6
2002-06-01,5.8,66.6,79.2,56.2,9.5
2002-07-01,5.8,66.5,79.1,56.1,9.6
2002-08-01,5.7,66.6,79.3,56.3,9.6
2002-09-01,5.7,66.7,79.4,56.4,9.6
2002-10-01,5.7,66.6,79.2,56.3,9.6
2002-11-01,5.9,66.4,78.8,56.2,9.8
2002-12-01,6.0,66.3,79.0,56.2,9.8
2003-01-01,5.8,66.4,78.9,56.5,9.9
2003-02-01,5.9,66.4,78.9,56.2,10.1
2003-03-01,5.9,66.3,79.0,56.3,10.0
2003-04-01,6.0,66.4,79.1,56.3,10.2
2003-05-01,6.1,66.4,78.9,56.3,10.1
2003-06-01,6.3,66.5,78.9,56.4,10.3
2003-07-01,6.2,66.2,78.8,56.1,10.3
2003-08-01,6.1,66.1,78.7,56.0,10.1
2003-09-01,6.1,66.1,78.6,55.7,10.4
2003-10-01,6.0,66.1,78.6,55.9,10.2
2003-11-01,5.8,66.1,78.7,56.0,10.1
2003-12-01,5.7,65.9,78.8,55.7,9.8
2004-01-01,5.7,66.1,78.9,55.7,9.8
2004-02-01,5.6,66.0,78.8,56.0,9.7
2004-03-01,5.8,66.0,78.7,55.9,10.0
2004-04-01,5.6,65.9,78.9,56.0,9.6
2004-05-01,5.6,66.0,79.0,56.1,9.7
2004-06-01,5.6,66.1,79.1,56.0,9.6
2004-07-01,5.5,66.1,79.2,56.0,9.5
2004-08-01,5.4,66.0,79.0,56.0,9.4
2004-09-01,5.4,65.8,79.0,55.9,9.4
2004-10-01,5.5,65.9,79.0,55.9,9.7
2004-11-01,5.4,66.0,79.1,56.0,9.4
2004-12-01,5.4,65.9,78.9,56.1,9.3
2005-01-01,5.3,65.8,79.2,56.1,9.2
2005-02-01,5.4,65.9,79.2,56.0,9.2
2005-03-01,5.2,65.9,79.2,56.0,9.1
2005-04-01,5.2,66.1,79.4,56.2,9.0
2005-05-01,5.1,66.1,79.5,56.2,8.9
2005-06-01,5.0,66.1,79.2,56.1,9.0
2005-07-01,5.0,66.1,79.4,56.2,8.8
2005-08-01,4.9,66.2,79.6,56.4,8.9
2005-09-01,5.0,66.1,79.4,56.4,9.0
2005-10-01,5.0,66.1,79.3,56.4,8.7
2005-11-01,5.0,66.0,79.2,56.3,8.7
2005-12-01,4.9,66.0,79.3,56.3,8.6
2006-01-01,4.7,66.0,79.6,56.3,8.4
2006-02-01,4.8,66.1,79.7,56.4,8.4
2006-03-01,4.7,66.2,79.8,56.4,8.2
2006-04-01,4.7,66.1,79.6,56.4,8.1
2006-05-01,4.6,66.1,79.7,56.6,8.2
2006-06-01,4.6,66.2,79.8,56.7,8.4
2006-07-01,4.7,66.1,79.8,56.8,8.5
2006-08-01,4.7,66.2,79.8,56.8,8.4
2006-09-01,4.5,66.1,79.9,56.5,8.0
2006-10-01,4.4,66.2,80.1,56.8,8.2
2006-11-01,4.5,66.3,80.0,56.8,8.1
2006-12-01,4.4,66.4,80.1,56.9,7.9
2007-01-01,4.6,66.4,80.3,56.8,8.3
2007-02-01,4.5,66.3,80.1,56.8,8.1
2007-03-01,4.4,66.2,80.2,56.9,8.0
2007-04-01,4.5,65.9,80.0,56.3,8.2
2007-05-01,4.4,66.0,80.0,56.6,8.2
2007-06-01,4.6,66.0,79.9,56.7,8.3
2007-07-01,4.7,66.0,79.8,56.6,8.4
2007-08-01,4.6,65.8,79.8,56.5,8.4
2007-09-01,4.7,66.0,79.7,56.8,8.4
2007-10-01,4.7,65.8,79.6,56.5,8.4
2007-11-01,4.7,66.0,79.7,56.6,8.5
2007-12-01,5.0,66.0,79.7,56.5,8.8
2008-01-01,5.0,66.2,80.0,56.6,9.1
2008-02-01,4.9,66.0,79.9,56.5,9.0
2008-03-01,5.1,66.1,79.8,56.5,9.1
2008-04-01,5.0,65.9,79.6,56.6,9.2
2008-05-01,5.4,66.1,79.5,56.5,9.7
2008-06-01,5.6,66.1,79.4,56.4,10.0
2008-07-01,5.8,66.1,79.2,56.3,10.5
2008-08-01,6.1,66.1,78.8,56.1,10.8
2008-09-01,6.1,66.0,78.8,56.1,11.1
2008-10-01,6.5,66.0,78.4,56.1,11.8
2008-11-01,6.8,65.9,78.1,55.8,12.7
2008-12-01,7.3,65.8,77.6,55.6,13.6
2009-01-01,7.8,65.7,77.0,55.2,14.1
2009-02-01,8.3,65.8,76.7,55.2,15.1
2009-03-01,8.7,65.6,76.2,55.0,15.8
2009-04-01,9.0,65.7,76.2,54.9,15.9
2009-05-01,9.4,65.7,75.9,54.7,16.5
2009-06-01,9.5,65.7,75.9,54.5,16.5
2009-07-01,9.5,65.5,75.8,54.5,16.4
2009-08-01,9.6,65.4,75.6,54.3,16.7
2009-09-01,9.8,65.1,75.1,53.9,16.7
2009-10-01,10.0,65.0,75.0,53.7,17.1
2009-11-01,9.9,65.0,75.2,53.8,17.1
2009-12-01,9.9,64.6,74.8,53.5,17.2
2010-01-01,9.8,64.8,75.1,53.9,16.6
2010-02-01,9.8,64.9,75.1,53.8,17.0
2010-03-01,9.9,64.9,75.1,53.7,17.1
2010-04-01,9.9,65.2,75.4,53.7,17.2
2010-05-01,9.6,64.9,75.1,53.6,16.7
2010-06-01,9.4,64.6,75.2,53.6,16.4
2010-07-01,9.4,64.6,75.1,53.5,16.4
2010-08-01,9.5,64.7,75.0,53.5,16.5
2010-09-01,9.5,64.6,75.1,53.5,16.9
2010-10-01,9.4,64.4,75.0,53.3,16.6
2010-11-01,9.8,64.6,74.8,53.4,16.9
